Starting Gen 6 N-Player training for 2000000 episodes on cpu...
Ep     7000 | WinRT:  33.0% | AvgLen: 36.2 | ALoss: -0.003 | CLoss:  0.173 | Ent: 0.161 | Time: 1674.4s
Ep     7100 | WinRT:  26.0% | AvgLen: 32.1 | ALoss: -0.000 | CLoss:  0.182 | Ent: 0.178 | Time: 1725.8s
Ep     7200 | WinRT:  34.0% | AvgLen: 35.3 | ALoss:  0.003 | CLoss:  0.176 | Ent: 0.196 | Time: 1779.4s
Ep     7300 | WinRT:  37.0% | AvgLen: 35.5 | ALoss: -0.002 | CLoss:  0.194 | Ent: 0.177 | Time: 1833.2s
Ep     7400 | WinRT:  25.0% | AvgLen: 35.5 | ALoss:  0.000 | CLoss:  0.159 | Ent: 0.171 | Time: 1887.4s
Ep     7500 | WinRT:  23.0% | AvgLen: 30.5 | ALoss: -0.001 | CLoss:  0.163 | Ent: 0.185 | Time: 1936.9s
Ep     7600 | WinRT:  28.0% | AvgLen: 36.9 | ALoss:  0.002 | CLoss:  0.144 | Ent: 0.172 | Time: 1994.4s
Ep     7700 | WinRT:  24.0% | AvgLen: 35.1 | ALoss: -0.002 | CLoss:  0.140 | Ent: 0.168 | Time: 2051.6s
Ep     7800 | WinRT:  29.0% | AvgLen: 36.8 | ALoss: -0.001 | CLoss:  0.161 | Ent: 0.177 | Time: 2106.7s
Ep     7900 | WinRT:  26.0% | AvgLen: 42.0 | ALoss: -0.000 | CLoss:  0.144 | Ent: 0.153 | Time: 2168.4s
Ep     8000 | WinRT:  25.0% | AvgLen: 40.7 | ALoss: -0.001 | CLoss:  0.133 | Ent: 0.165 | Time: 2228.5s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep     8100 | WinRT:  17.0% | AvgLen: 55.1 | ALoss: -0.001 | CLoss:  0.090 | Ent: 0.128 | Time: 2307.1s
Ep     8200 | WinRT:  25.0% | AvgLen: 43.3 | ALoss:  0.001 | CLoss:  0.115 | Ent: 0.158 | Time: 2371.8s
Ep     8300 | WinRT:  21.0% | AvgLen: 44.6 | ALoss: -0.000 | CLoss:  0.113 | Ent: 0.165 | Time: 2437.2s
Ep     8400 | WinRT:  16.0% | AvgLen: 42.9 | ALoss:  0.000 | CLoss:  0.106 | Ent: 0.161 | Time: 2503.0s
Ep     8500 | WinRT:  19.0% | AvgLen: 56.3 | ALoss: -0.001 | CLoss:  0.087 | Ent: 0.143 | Time: 2579.8s
Ep     8600 | WinRT:  17.0% | AvgLen: 49.6 | ALoss: -0.000 | CLoss:  0.084 | Ent: 0.161 | Time: 2648.6s
Ep     8700 | WinRT:  20.0% | AvgLen: 45.7 | ALoss: -0.002 | CLoss:  0.098 | Ent: 0.155 | Time: 2718.4s
Ep     8800 | WinRT:  21.0% | AvgLen: 45.6 | ALoss: -0.001 | CLoss:  0.112 | Ent: 0.163 | Time: 2784.7s
Ep     8900 | WinRT:  19.0% | AvgLen: 41.9 | ALoss: -0.001 | CLoss:  0.108 | Ent: 0.168 | Time: 2847.7s
Ep     9000 | WinRT:  28.0% | AvgLen: 43.3 | ALoss:  0.001 | CLoss:  0.132 | Ent: 0.163 | Time: 2911.4s
