Starting Gen 5 Self-Play training for 3500000 episodes on cpu...
Ep    15600 | WinRT:  43.0% | AvgLen: 10.9 | ALoss: -0.002 | CLoss:  0.313 | Ent: 0.224 | Time: 304.3s
Ep    15800 | WinRT:  49.0% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.381 | Ent: 0.211 | Time: 309.0s
Ep    16000 | WinRT:  42.5% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.333 | Ent: 0.204 | Time: 313.6s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    16200 | WinRT:  39.0% | AvgLen: 11.4 | ALoss: -0.002 | CLoss:  0.313 | Ent: 0.193 | Time: 318.3s
Ep    16400 | WinRT:  45.0% | AvgLen: 10.9 | ALoss: -0.001 | CLoss:  0.360 | Ent: 0.197 | Time: 323.0s
Ep    16600 | WinRT:  39.0% | AvgLen: 11.1 | ALoss: -0.003 | CLoss:  0.372 | Ent: 0.187 | Time: 327.7s
Ep    16800 | WinRT:  47.0% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.331 | Ent: 0.187 | Time: 332.2s
Ep    17000 | WinRT:  41.0% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.282 | Ent: 0.175 | Time: 337.0s
Ep    17200 | WinRT:  41.5% | AvgLen: 11.3 | ALoss: -0.000 | CLoss:  0.252 | Ent: 0.177 | Time: 341.8s
Ep    17400 | WinRT:  40.5% | AvgLen: 11.0 | ALoss:  0.000 | CLoss:  0.305 | Ent: 0.173 | Time: 346.5s
Ep    17600 | WinRT:  47.0% | AvgLen: 11.0 | ALoss: -0.001 | CLoss:  0.338 | Ent: 0.172 | Time: 351.2s
Ep    17800 | WinRT:  42.5% | AvgLen: 10.7 | ALoss: -0.002 | CLoss:  0.298 | Ent: 0.168 | Time: 355.7s
Ep    18000 | WinRT:  42.0% | AvgLen: 11.4 | ALoss:  0.000 | CLoss:  0.236 | Ent: 0.155 | Time: 360.3s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    18200 | WinRT:  48.0% | AvgLen: 11.4 | ALoss: -0.000 | CLoss:  0.303 | Ent: 0.149 | Time: 365.2s
Ep    18400 | WinRT:  46.5% | AvgLen: 11.5 | ALoss: -0.002 | CLoss:  0.301 | Ent: 0.145 | Time: 370.0s
Ep    18600 | WinRT:  50.0% | AvgLen: 11.7 | ALoss: -0.000 | CLoss:  0.202 | Ent: 0.141 | Time: 375.0s
Ep    18800 | WinRT:  41.5% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.286 | Ent: 0.137 | Time: 379.9s
Ep    19000 | WinRT:  43.0% | AvgLen: 11.1 | ALoss: -0.002 | CLoss:  0.248 | Ent: 0.137 | Time: 384.5s
Ep    19200 | WinRT:  46.5% | AvgLen: 12.0 | ALoss: -0.002 | CLoss:  0.205 | Ent: 0.126 | Time: 389.4s
Ep    19400 | WinRT:  44.5% | AvgLen: 11.6 | ALoss: -0.002 | CLoss:  0.258 | Ent: 0.123 | Time: 394.3s
Ep    19600 | WinRT:  45.5% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.216 | Ent: 0.117 | Time: 399.1s
Ep    19800 | WinRT:  42.5% | AvgLen: 11.1 | ALoss: -0.000 | CLoss:  0.189 | Ent: 0.118 | Time: 403.9s
Ep    20000 | WinRT:  52.0% | AvgLen: 11.2 | ALoss: -0.001 | CLoss:  0.235 | Ent: 0.119 | Time: 408.8s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    20200 | WinRT:  44.5% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.227 | Ent: 0.116 | Time: 413.7s
Ep    20400 | WinRT:  39.0% | AvgLen: 11.0 | ALoss: -0.002 | CLoss:  0.222 | Ent: 0.115 | Time: 418.3s
Ep    20600 | WinRT:  49.0% | AvgLen: 11.9 | ALoss: -0.000 | CLoss:  0.189 | Ent: 0.103 | Time: 423.2s
Ep    20800 | WinRT:  46.5% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.155 | Ent: 0.101 | Time: 428.2s
Ep    21000 | WinRT:  46.5% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.211 | Ent: 0.101 | Time: 433.0s
Ep    21200 | WinRT:  45.5% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.141 | Ent: 0.099 | Time: 438.0s
Ep    21400 | WinRT:  39.0% | AvgLen: 11.5 | ALoss: -0.001 | CLoss:  0.237 | Ent: 0.101 | Time: 442.7s
Ep    21600 | WinRT:  48.5% | AvgLen: 12.0 | ALoss: -0.000 | CLoss:  0.201 | Ent: 0.098 | Time: 447.6s
Ep    21800 | WinRT:  55.0% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.170 | Ent: 0.098 | Time: 452.5s
Ep    22000 | WinRT:  45.0% | AvgLen: 11.7 | ALoss: -0.000 | CLoss:  0.175 | Ent: 0.102 | Time: 457.4s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    22200 | WinRT:  42.0% | AvgLen: 11.5 | ALoss: -0.001 | CLoss:  0.122 | Ent: 0.107 | Time: 462.2s
Ep    22400 | WinRT:  42.5% | AvgLen: 11.5 | ALoss:  0.000 | CLoss:  0.149 | Ent: 0.105 | Time: 467.0s
Ep    22600 | WinRT:  52.5% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.167 | Ent: 0.106 | Time: 471.9s
Ep    22800 | WinRT:  54.0% | AvgLen: 12.0 | ALoss: -0.001 | CLoss:  0.157 | Ent: 0.102 | Time: 477.0s
Ep    23000 | WinRT:  44.5% | AvgLen: 11.0 | ALoss: -0.002 | CLoss:  0.167 | Ent: 0.112 | Time: 481.6s
Ep    23200 | WinRT:  44.0% | AvgLen: 12.0 | ALoss: -0.000 | CLoss:  0.159 | Ent: 0.113 | Time: 486.7s
Ep    23400 | WinRT:  49.5% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.124 | Ent: 0.112 | Time: 491.5s
Ep    23600 | WinRT:  51.0% | AvgLen: 11.8 | ALoss: -0.000 | CLoss:  0.144 | Ent: 0.112 | Time: 496.4s
Ep    23800 | WinRT:  43.5% | AvgLen: 11.2 | ALoss: -0.000 | CLoss:  0.163 | Ent: 0.120 | Time: 501.0s
Ep    24000 | WinRT:  50.0% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.149 | Ent: 0.113 | Time: 505.8s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    24200 | WinRT:  46.5% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.141 | Ent: 0.117 | Time: 510.7s
Ep    24400 | WinRT:  42.5% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.152 | Ent: 0.115 | Time: 515.6s
Ep    24600 | WinRT:  52.5% | AvgLen: 11.2 | ALoss: -0.001 | CLoss:  0.118 | Ent: 0.109 | Time: 520.4s
Ep    24800 | WinRT:  54.0% | AvgLen: 11.7 | ALoss: -0.001 | CLoss:  0.167 | Ent: 0.107 | Time: 525.2s
Ep    25000 | WinRT:  52.5% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.225 | Ent: 0.111 | Time: 529.9s
Ep    25200 | WinRT:  46.0% | AvgLen: 11.2 | ALoss: -0.000 | CLoss:  0.098 | Ent: 0.113 | Time: 534.7s
Ep    25400 | WinRT:  51.0% | AvgLen: 11.5 | ALoss: -0.001 | CLoss:  0.166 | Ent: 0.108 | Time: 539.4s
Ep    25600 | WinRT:  46.5% | AvgLen: 11.7 | ALoss: -0.002 | CLoss:  0.198 | Ent: 0.114 | Time: 544.3s
Ep    25800 | WinRT:  52.0% | AvgLen: 11.3 | ALoss: -0.002 | CLoss:  0.141 | Ent: 0.114 | Time: 549.1s
Ep    26000 | WinRT:  48.5% | AvgLen: 10.9 | ALoss: -0.001 | CLoss:  0.136 | Ent: 0.122 | Time: 553.7s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
