Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep     8200 | WinRT:  93.0% | AvgLen: 23.4 | ALoss: -0.000 | CLoss:  0.075 | Ent: 0.078 | Time: 714.3s
Ep     8300 | WinRT:  91.0% | AvgLen: 11.8 | ALoss:  0.003 | CLoss:  0.144 | Ent: 0.081 | Time: 720.6s
Ep     8400 | WinRT:  93.0% | AvgLen: 18.5 | ALoss: -0.002 | CLoss:  0.089 | Ent: 0.087 | Time: 729.6s
Ep     8500 | WinRT:  90.0% | AvgLen: 15.6 | ALoss:  0.000 | CLoss:  0.113 | Ent: 0.091 | Time: 737.0s
Ep     8600 | WinRT:  94.0% | AvgLen: 21.4 | ALoss: -0.001 | CLoss:  0.061 | Ent: 0.070 | Time: 747.9s
Ep     8700 | WinRT:  89.0% | AvgLen: 11.9 | ALoss: -0.002 | CLoss:  0.138 | Ent: 0.087 | Time: 753.8s
Ep     8800 | WinRT:  92.0% | AvgLen:  9.7 | ALoss: -0.000 | CLoss:  0.190 | Ent: 0.110 | Time: 759.1s
Ep     8900 | WinRT:  93.0% | AvgLen: 12.5 | ALoss:  0.000 | CLoss:  0.093 | Ent: 0.108 | Time: 765.6s
Ep     9000 | WinRT:  93.0% | AvgLen:  9.9 | ALoss: -0.001 | CLoss:  0.163 | Ent: 0.109 | Time: 771.0s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     9100 | WinRT:  89.0% | AvgLen: 11.8 | ALoss: -0.001 | CLoss:  0.158 | Ent: 0.102 | Time: 777.3s
Ep     9200 | WinRT:  95.0% | AvgLen: 10.2 | ALoss: -0.002 | CLoss:  0.128 | Ent: 0.121 | Time: 783.0s
Ep     9300 | WinRT:  91.0% | AvgLen: 10.8 | ALoss: -0.002 | CLoss:  0.151 | Ent: 0.112 | Time: 788.8s
Ep     9400 | WinRT:  89.0% | AvgLen: 24.3 | ALoss: -0.001 | CLoss:  0.100 | Ent: 0.078 | Time: 800.7s
Ep     9500 | WinRT:  94.0% | AvgLen: 11.3 | ALoss: -0.002 | CLoss:  0.120 | Ent: 0.116 | Time: 806.3s
Ep     9600 | WinRT:  96.0% | AvgLen: 10.3 | ALoss: -0.001 | CLoss:  0.100 | Ent: 0.115 | Time: 811.8s
Ep     9700 | WinRT:  90.0% | AvgLen:  8.4 | ALoss:  0.002 | CLoss:  0.228 | Ent: 0.103 | Time: 816.1s
Ep     9800 | WinRT:  92.0% | AvgLen: 16.9 | ALoss: -0.001 | CLoss:  0.091 | Ent: 0.114 | Time: 824.6s
Ep     9900 | WinRT:  92.0% | AvgLen:  9.4 | ALoss: -0.000 | CLoss:  0.155 | Ent: 0.111 | Time: 829.4s
Ep    10000 | WinRT:  93.0% | AvgLen: 16.4 | ALoss: -0.001 | CLoss:  0.071 | Ent: 0.068 | Time: 837.8s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    10100 | WinRT:  93.0% | AvgLen: 10.5 | ALoss: -0.000 | CLoss:  0.125 | Ent: 0.114 | Time: 843.1s
Ep    10200 | WinRT:  93.0% | AvgLen:  8.4 | ALoss: -0.002 | CLoss:  0.132 | Ent: 0.121 | Time: 847.9s
Ep    10300 | WinRT:  92.0% | AvgLen: 21.8 | ALoss: -0.001 | CLoss:  0.054 | Ent: 0.077 | Time: 858.3s
