Using device: mps
Starting PPO training for 500000 episodes...
Ep     6600 | WinRT:  31.0% | AvgLen:  6.0 | ALoss:  0.002 | CLoss:  0.508 | Ent: 1.064 | Time: 204.8s
Ep     6700 | WinRT:  41.0% | AvgLen:  5.9 | ALoss:  0.000 | CLoss:  0.658 | Ent: 1.066 | Time: 207.8s
Ep     6800 | WinRT:  38.0% | AvgLen:  6.4 | ALoss: -0.006 | CLoss:  0.558 | Ent: 1.059 | Time: 211.8s
Ep     6900 | WinRT:  44.0% | AvgLen:  5.9 | ALoss: -0.009 | CLoss:  0.637 | Ent: 1.059 | Time: 215.7s
Ep     7000 | WinRT:  31.0% | AvgLen:  6.4 | ALoss:  0.000 | CLoss:  0.581 | Ent: 1.056 | Time: 218.8s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     7100 | WinRT:  45.0% | AvgLen:  6.9 | ALoss: -0.002 | CLoss:  0.628 | Ent: 1.074 | Time: 222.6s
Ep     7200 | WinRT:  42.0% | AvgLen:  5.9 | ALoss: -0.005 | CLoss:  0.607 | Ent: 1.048 | Time: 225.3s
Ep     7300 | WinRT:  47.0% | AvgLen:  6.6 | ALoss: -0.001 | CLoss:  0.586 | Ent: 1.071 | Time: 229.1s
Ep     7400 | WinRT:  45.0% | AvgLen:  6.1 | ALoss: -0.011 | CLoss:  0.618 | Ent: 1.058 | Time: 232.0s
Ep     7500 | WinRT:  41.0% | AvgLen:  6.0 | ALoss: -0.003 | CLoss:  0.576 | Ent: 1.042 | Time: 235.4s
Ep     7600 | WinRT:  35.0% | AvgLen:  5.9 | ALoss: -0.000 | CLoss:  0.582 | Ent: 1.067 | Time: 238.5s
Ep     7700 | WinRT:  32.0% | AvgLen:  6.9 | ALoss:  0.003 | CLoss:  0.545 | Ent: 1.041 | Time: 241.8s
Ep     7800 | WinRT:  39.0% | AvgLen:  5.8 | ALoss:  0.000 | CLoss:  0.630 | Ent: 1.051 | Time: 244.8s
Ep     7900 | WinRT:  54.0% | AvgLen:  6.5 | ALoss: -0.004 | CLoss:  0.612 | Ent: 1.075 | Time: 248.8s
Ep     8000 | WinRT:  41.0% | AvgLen:  6.1 | ALoss:  0.007 | CLoss:  0.630 | Ent: 1.073 | Time: 251.9s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     8100 | WinRT:  39.0% | AvgLen:  6.4 | ALoss: -0.001 | CLoss:  0.565 | Ent: 1.080 | Time: 255.8s
Ep     8200 | WinRT:  44.0% | AvgLen:  6.6 | ALoss:  0.003 | CLoss:  0.562 | Ent: 1.094 | Time: 259.8s
Ep     8300 | WinRT:  38.0% | AvgLen:  6.3 | ALoss: -0.001 | CLoss:  0.560 | Ent: 1.072 | Time: 263.1s
Ep     8400 | WinRT:  40.0% | AvgLen:  6.0 | ALoss:  0.000 | CLoss:  0.570 | Ent: 1.099 | Time: 265.9s
Ep     8500 | WinRT:  42.0% | AvgLen:  6.3 | ALoss: -0.003 | CLoss:  0.612 | Ent: 1.071 | Time: 269.4s
Ep     8600 | WinRT:  36.0% | AvgLen:  6.4 | ALoss: -0.003 | CLoss:  0.614 | Ent: 1.088 | Time: 272.8s
Ep     8700 | WinRT:  39.0% | AvgLen:  6.3 | ALoss: -0.000 | CLoss:  0.597 | Ent: 1.071 | Time: 276.4s
