[... training logs ... (Output was truncated, but full training log is visible above up to Ep 538400)]
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   534600 | WinRT:  60.5% | AvgLen:  8.1 | ALoss:  0.003 | CLoss:  0.460 | Ent: 0.292 | Time: 5053.6s
Ep   534800 | WinRT:  55.5% | AvgLen:  7.8 | ALoss: -0.000 | CLoss:  0.427 | Ent: 0.313 | Time: 5055.8s
Ep   535000 | WinRT:  55.0% | AvgLen: 10.0 | ALoss:  0.002 | CLoss:  0.328 | Ent: 0.277 | Time: 5058.3s
Ep   535200 | WinRT:  59.5% | AvgLen:  7.8 | ALoss:  0.002 | CLoss:  0.417 | Ent: 0.306 | Time: 5060.3s
Ep   535400 | WinRT:  54.0% | AvgLen:  9.1 | ALoss:  0.000 | CLoss:  0.352 | Ent: 0.276 | Time: 5062.6s
Ep   535600 | WinRT:  54.5% | AvgLen:  7.6 | ALoss: -0.001 | CLoss:  0.425 | Ent: 0.314 | Time: 5064.6s
Ep   535800 | WinRT:  55.0% | AvgLen: 10.5 | ALoss: -0.002 | CLoss:  0.311 | Ent: 0.265 | Time: 5067.1s
Ep   536000 | WinRT:  52.0% | AvgLen:  7.5 | ALoss: -0.001 | CLoss:  0.447 | Ent: 0.328 | Time: 5069.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   536200 | WinRT:  51.5% | AvgLen:  7.6 | ALoss: -0.001 | CLoss:  0.445 | Ent: 0.318 | Time: 5071.3s
Ep   536400 | WinRT:  54.0% | AvgLen: 10.3 | ALoss:  0.001 | CLoss:  0.314 | Ent: 0.261 | Time: 5073.7s
Ep   536600 | WinRT:  51.5% | AvgLen:  7.9 | ALoss: -0.004 | CLoss:  0.413 | Ent: 0.307 | Time: 5075.8s
Ep   536800 | WinRT:  48.5% | AvgLen:  7.7 | ALoss:  0.001 | CLoss:  0.404 | Ent: 0.328 | Time: 5077.8s
Ep   537000 | WinRT:  51.5% | AvgLen:  8.5 | ALoss: -0.000 | CLoss:  0.415 | Ent: 0.316 | Time: 5079.9s
Ep   537200 | WinRT:  52.5% | AvgLen:  8.4 | ALoss: -0.001 | CLoss:  0.346 | Ent: 0.303 | Time: 5082.0s
Ep   537400 | WinRT:  48.0% | AvgLen:  8.0 | ALoss:  0.000 | CLoss:  0.468 | Ent: 0.324 | Time: 5084.0s
Ep   537600 | WinRT:  58.0% | AvgLen: 10.3 | ALoss: -0.002 | CLoss:  0.281 | Ent: 0.269 | Time: 5086.6s
Ep   537800 | WinRT:  58.0% | AvgLen:  9.0 | ALoss:  0.011 | CLoss:  0.348 | Ent: 0.283 | Time: 5088.9s
Ep   538000 | WinRT:  57.0% | AvgLen:  7.9 | ALoss:  0.002 | CLoss:  0.412 | Ent: 0.315 | Time: 5090.9s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   538200 | WinRT:  52.0% | AvgLen:  7.5 | ALoss: -0.002 | CLoss:  0.406 | Ent: 0.324 | Time: 5092.9s
Ep   538400 | WinRT:  48.5% | AvgLen:  7.4 | ALoss:  0.002 | CLoss:  0.430 | Ent: 0.301 | Time: 5094.9s
